date,value
20200930,3218.0521
20200929,3224.3593
20200928,3217.5346
20200927,
20200926,
20200925,3219.4179
20200924,3223.1764
20200923,3279.7105
20200922,3274.3015
20200921,3316.9351
20200920,
20200919,
20200918,3338.0897
20200917,3270.435
20200916,3283.9244
20200915,3295.6795
20200914,3278.8138
20200913,
20200912,
20200911,3260.3461
20200910,3234.8234
20200909,3254.6279
20200908,3316.417
20200907,3292.5907
20200906,
20200905,
20200904,3355.3666
20200903,3384.9806
20200902,3404.8017
20200901,3410.6068
